well_i,wps_cardinal,wps_iframe,wps_corridor,anisotropy_ratio,anisotropy_delta,azimuth_deg,mid_x,mid_y
42003476180000,1,1,1,1.0,0.0,345.71669287192213,2355346.946737758,11762571.446352875
42003476190000,7,5,5,0.7142857142857143,-2.0,343.1966401194589,2356941.3274207627,11678443.888211623
42003476240000,7,6,6,0.8571428571428571,-1.0,345.95143799362154,2399486.2291353103,11685058.945489675
42003476250000,6,6,6,1.0,0.0,342.83629580362935,2335426.0282496843,11763579.009512553
42003476260000,4,4,4,1.0,0.0,345.9074106005068,2361058.1470103622,11816509.426141517
42003476330000,4,4,3,1.0,0.0,161.8280861264327,2381015.6295318296,11780390.94405929
42003476380000,8,6,6,0.75,-2.0,344.4286937651232,2370686.192442294,11811603.591852287
42003476390000,7,6,6,0.8571428571428571,-1.0,165.887181760042,2365940.23526603,11793113.231204476
42003476400000,8,6,6,0.75,-2.0,163.29608835960462,2363617.0307229096,11791973.020646604
42003476440000,3,2,2,0.6666666666666666,-1.0,346.4258467138411,2347604.558364389,11660041.072808102
42003476460000,6,5,5,0.8333333333333334,-1.0,166.27816957647943,2368576.4098932715,11793855.879648602
42003476470000,5,5,5,1.0,0.0,166.32575341446648,2370135.5870929766,11794501.3658403
42003476540000,5,3,3,0.6,-2.0,165.0836924372181,2360944.677680284,11791182.902217813
42003476550000,7,5,5,0.7142857142857143,-2.0,165.91501881588943,2368027.9957713652,11810671.19217528
